,name,verdict,i_reason,description,website,product_offering,target_audience,problem_statement,founding_team,clients
132,Gary's Italian Restaurant,No,,"Set in a beautiful two-storey black-and-white colonial bungalow, Gary’s is nestled amidst the verdant surrounds of Rochester Park. Chef Gary became a celebrity chef after he won over who’s who with his culinary prowess. The eponymous Gary’s captures romance in a heritage house surrounded by garden greenery. Partake from an exquisite Italian Japanese menu designed around the freshest produce. 

 

Tranquil Surroundings Where Old-World Meets Modern   

Gary’s is all about amazing food in a serene and picturesque location. Step in from the green surroundings of Rochester Drive to a beautiful juxtaposition of old-world charm and fresh trends. Cool marble flooring and counters are contrasted with warm wood panels, while classic parquet flooring is uplifted with futuristic lighting design. Whether you prefer to dine indoors or alfresco, the romantic atmosphere is matched by creatively plated dishes that are a feast for the eyes and Instagram-worthy. Whether you come to Gary’s for a dinner for two,  

or an end-of-the-week lunch with the bestie—you’ll be immersed in a whole new world that will delight your senses. 

 

A Taste of Italy with a Touch of Japanese 

The reimagining of Italian fine dining with a Japanese sensibility makes Gary’s menu a tour de force. Surprising appetizers include the Iconic Garden Salad – Giant Asparagus with Mushroom, Baby Corn, Black Olive, Cress and Mashed Potato – and Red Prawn Tartare, featuring Okra, Cherry Tomato and Wakame. A warm and welcoming classic Italian soup is the Signature Mediterranean Seafood Soup.  

 

The Pasta menu is hard to resist: Chef Gary’s Lobster Risotto that’s aged seven years is every bit as marvelous as his exotic Bamboo Clam with Squid Ink Pasta and his Carbonara featuring Iberico Chips and a pasteurized egg sauce with pasta cooked to al dente perfection. 

 

For mains, Gary’s boasts an enticing seafood menu as well as robust meat offerings.",garys.sg,"Arrosticini are a class of traditional dishes of skewered grilled meat characteristic of Abruzzese cuisine. Arrosticini are typically made from mutton or lamb cut in chunks and pierced by a skewer. It is cooked on a brazier with a typically elongated shape, called furnacella as it resembles a gutter. Arrosticini are often accompanied by slices of bread soaked in extra-virgin olive oil (pane ‘onde). The traditional beverage accompaniment is Montepulciano d’Abruzzo wine.",Consumers,Not enough info,Not enough info,Not enough info
133,Matchday Central,No,,"Matchday Central offers a range of football-related travel experiences to suit every fan, whether you’re a diehard supporter or a casual observer. Whether you’re going for Premier League or Champions League matches, or any other football event happening in Europe, Matchday Central will give you the best experience.",matchdaycentral.com,"Football experiences exclusively for Mastercard® cardholders, including match tickets, accommodation, stadium tours, city tours, and post-match recommendations.",Football fans who are Mastercard® cardholders.,Providing exclusive football experiences for Mastercard® cardholders to enhance their matchday experience.,Not enough info,Not enough info
134,Brazil Expat,No,,"Você é brasileiro e mora no Exterior? Então você precisa conhecer a Brazil Expat.

Somos uma empresa global que fornece serviços personalizados a brasileiros expatriados ao redor do mundo. Nossos serviços abrangem consultoria empresarial, eventos e a promoção da cultura brasileira.",brazilexpat.co,"Brazil Expat is a digital and online magazine that provides content on a wide range of topics including family, education, finance, entrepreneurship, career, pets, gastronomy, travel, fashion, beauty, health, fitness, wellness, art, culture, events, and entertainment. It aims to bring the best content to Brazilians around the world, covering inspiring stories and valuable information.",Consumers,Brazil Expat aims to provide a unique and engaging experience to Brazilian readers worldwide by offering a wide range of content on various topics. The magazine addresses the challenges faced by Brazilians living outside their home country and is committed to providing support in various forms. The key value proposition is to offer a constant source of inspiration and knowledge to the readers.,Not enough info,Not enough info
135,IDEA451,No,Consultancy,"Co-founded by graduates of the University of Chicago Booth School of Business, IDEA451 is the digital advisory of Stereorun, a Singapore-based company.  Connect with us, at corp.admin@stereorun.com",idea451.com,"Marketing and loyalty solutions that drive greater results through crafting gripping narratives, sharper frameworks, and richer data insights","Enterprises in the travel, tech, and entertainment industries looking to enhance their marketing and loyalty initiatives",Helping businesses overcome real challenges and stand out in a competitive market by providing innovative solutions and impactful strategies,Not enough info,Not enough info
136,The Heart Therapy Space,No,,"The Heart Therapy Space is a professional art therapy practice that is created through the partnership of two trained and accredited art therapists, Eliza Han and Teh Shan Li. Our mission is to heal the community one heart at a time, through the therapeutic use of art.

We provide art therapy experiential workshops, individual and small group art therapy.  We can also customize art experiential workshops for your personal and organizational needs.

Drop us an email at: the.heart.therapy.space@gmail.com for enquiries.",theartherapyspace.com,"Professional art therapy services including art therapy experiential workshops, individual and small group art therapy",Consumers seeking therapeutic art experiences for mental wellness and personal growth,"To create a safe containing space for individuals to explore, express, gain clarity, and heal through art therapy","Eliza Han and Teh Shan Li, trained and accredited art therapists with relevant experience in the field of art therapy","East Spring Primary School, NUS Health & Wellbeing Branch, The School of Positive Psychology"
137,SPORTIME,No,,Something new to come!,sportime.vertex_invalid,,,,,
138,The Academic Label,No,,"The Academic Label is a youth-run mentorship initiative, for youths from all walks of life. Unique in its action-driven focus and age sensitivity, the initiative seeks to bridge inequity in the education landscape by liberalising information and experiences through its unique mentorship programme.

With the 1-to-1 youth mentorship at its core, the programme actively encourages mentees to translate the insights from their mentorship into tangible action through various supplementary programmes. The mentorship is also further enriched by life counselling services provided by its partner, International Minds, enabling even the most lost of mentees, to embark on their journey of discovering themselves.

The programme runs in 3 months cycles, during which mentees are matched to a mentor through a holistic matching process. Throughout their mentorship period, mentees have full access to all supplementary programmes of The Academic Label.

In The Academic Label's initial pilot run between December 2022 and February 2023, the programme accepted 40 over mentees and recruited 30 over mentors. Cumulatively, in the three months of the first run, mentor-mentee pairs completed over 180 hours of mentorship.

The initiative also launched the Application Support Programme, a supplementary programme aimed at guiding mentees through their tertiary education aspirations through team-based support from an incredibly diverse (and continuously growing) team of over 30 advisors representing 10 different locales. 

In upcoming runs, beyond scaling up the mentor and mentee intakes, the programme is expanding the Application Support Programme through school based partnerships. Pilots for programmes aimed at providing vocational experiences for mentees are also underway and are set to be launched in the upcoming runs.

In line with our desire for continuous growth, the initiative's mentor pool and administrative team is constantly growing and actively welcomes all motivated persons.",theacadlabel.com,"The Academic Label offers a 1 to 1 mentorship program along with supplementary programs like application support and career/life coaching, aimed at aiding students in their decision-making process.",The target audience of The Academic Label is youths who are still discovering their academic and career passions.,"The main problem statement of The Academic Label is the difficulty in navigating interests and the pressure to achieve good grades, which they aim to address through mentorship and support programs.",Not enough info,Not enough info
139,Singpro Solutions Pte Ltd,No,Wiring specialist,"We provide AP & LAN Points, Fibre Optics Installation & Splicing Service, CCTV, Door Access System & Intercom System",singprosolutions.com,"Singpro Solutions Pte Ltd offers structured network data cabling, fiber optics cabling, and security system installation services. Their innovative approach lies in their expertise in providing quality, reliable, and responsive solutions for network IT technology and security systems.","Singpro Solutions Pte Ltd targets consumers and enterprises in residential (HDB, Landed), commercial (Warehouse, Office, Lab), and industrial sectors who require network cabling, fiber optics, CCTV security systems, and door access solutions.","The main value proposition of Singpro Solutions Pte Ltd is to offer specialized and experienced services in network cabling, fiber optics, and security systems to help clients manage their IT technology and security needs effectively in the modern era.",Not enough info,"Singpro Solutions Pte Ltd has served a diverse range of clients including residential, commercial, and industrial sectors. They have also partnered with familiar cable brands and have a portfolio of successful projects in network cabling, fiber optics, and security system installations."
140,Enchanté Gifts,No,Traditional corporate gifting company,"•	Enchante Gifts, based in Singapore, takes pride in being your foremost partner when it comes to corporate gifting.
•	With 15 years of experience, we have honed our skills and expertise to better serve you.
•	At Enchante Gifts, we firmly adhere to a set of guiding principles that set us apart. We believe in the power of innovative concepts, offering high-quality services, ensuring both quality and quantity, and, most importantly, delivering on time, every time. Our commitment to these principles drives innovation and sets new standards.
•	Our journey began with a simple yet profound intention – to create every souvenir with genuine care and devotion. We firmly believe that those who receive your corporate gifts should feel the same love and appreciation that your company holds for them. Enchante Gifts aspires to be the conduit through which love continues to be shared, unceasingly.
•	We understand the significance of every gesture and token of appreciation, and we are dedicated to delivering your message with the utmost care and distinction. Our commitment to excellence ensures that your company will receive only the best souvenir services.
•	With Enchante Gifts, corporate gifting is not just a service – it's an art, crafted with love and devotion, designed to make a lasting impact. We are excited to embark on this journey with your company, enhancing your relationships and leaving an indelible mark through exceptional corporate gifting experiences.",enchanté_gifts.vertex_invalid,,,,,
141,ANEXT Bank,No,Bank,"We’re on a mission to make financial services accessible and effortless for SMEs. As one of Singapore’s latest digital wholesale banks fully regulated by MAS, we’re committed to continuous innovation to bring about simpler, safer and more rewarding financial services. #bringingaboutwhatsnext",anext.com.sg,"ANEXT Bank offers digital wholesale banking services that are committed to continuous innovation to bring about simpler, safer, and more rewarding financial services.","The target audience for ANEXT Bank is growing businesses, specifically SMEs (Small and Medium Enterprises) who are looking for accessible and effortless financial services.","The main problem statement of ANEXT Bank is to make financial services more accessible and effortless for growing businesses, by providing innovative and rewarding solutions.",Not enough info,Not enough info
142,Prophub SG,No,,Island agents,prophub_sg.vertex_invalid,,,,,
143,JAR Wealth Management Pte. Ltd.,No,,"We are an External Asset Manager sourcing and managing global investment solutions and opportunities. 

JAR Wealth Management Pte. Ltd. (202126007D) is regulated by the Monetary Authority of Singapore (“MAS”) and holds a Capital Market Services (“CMS”) license to conduct fund management activities regulated under the Securities and Futures Act (“SFA”).",jarcapital.swiss,Wealth management with the support of an experienced partner. JAR Capital actively supports its clients in managing their wealth based on discretionary or advisory mandates.,Swiss residents,"Our job is not limited to managing a portion of our clients’ savings. In order to provide optimal advice, especially to our Swiss resident clients, we need to understand our clients’ overall wealth situation, as well as their objectives and challenges.","Gérald de Senger, Nicolas de Senger, Samer Hanna, Khaled Al Jazzar, Nicolas A. Rappoport, Tim Walter, Mathieu Gygax, Sébastien Pittet, Amir Moradi-Talebi",Not enough info
144,The Jazzlings,No,,A Collective of Jazz Enthusiasts eager to share our love for Jazz with you! Speak with us to discuss how we can bring Live Jazz Music to your event!,the_jazzlings.vertex_invalid,,,,,
145,Maxhunt Resource Pte Ltd,No,Headhunting,"Maxhunt Resource Pte Ltd is a subsidiary of Oneness Holding Private Limited and we specialize in identifying, sourcing, shortlisting and interviewing candidates for jobs (either permanent, temporary or contract staff) within an organization.

Our mission is to be a leader in the manpower placement/contract service industry, providing efficient, cost effective and timely personal manpower solutions to our clients.",maxhuntresource.com.sg,"General Construction Company providing one stop service for all elements of the construction process of planning, design, construction to maintenance and operations",Consumers,Providing innovative and comprehensive construction services to consumers,Not enough info,Not enough info
146,Kofie Cart,No,Mobile coffee cart,"Kofie Cart is a relatively new business that started in 2022. We are a mobile coffee cart for hire which serves specialty coffee with selected chocolate drinks as alternatives. We use the finest beans from renowned regions, expertly brewed by our skilled baristas. Convenience is paramount as we deliver the cafe experience to your events, tailored to your taste. With meticulous attention to detail, our inviting cart offers a warm ambiance and a friendly atmosphere for memorable interactions. Coupled with our personalized services and unforgettable specialty brews we pride ourselves as one of the best mobile coffee providers here in Singapore.",kofiecart.com,Mobile coffee cart for hire serving specialty coffee and selected chocolate drinks,Consumers looking for a unique coffee experience at events,Providing a convenient and personalized cafe experience at events,Not enough info,Not enough info
147,Project Impermanence,No,,"We are a two man team that produces and film your craziest ideas, from short films to music videos",project_impermanence.vertex_invalid,,,,,
148,MNT3,No,Consultancy,"MNT3 is a boutique consultancy firm that enables clients to capitalize on the latest innovations in Artificial Intelligence and Web3.

Our core objectives are to assist organizations in enhancing their Risk Management strategies through the innovative application of Artificial Intelligence, to facilitate rapid and cost-effective elevation of their risk maturity levels.

We are also offering consultancy services in AI & Web3 sphere that drive business transformations towards a more decentralized and productive future.

Join us on our mission to transform the business world with the power of AI and blockchain.",mnt3.xyz,AI Governance consultancy services for Risk Management,C-level executives in enterprises,Enhancing strategic governance and AI maturity to maximize innovation opportunities and transform AI governance into a competitive advantage,"Founder Jean-Philippe has 25 years of experience in banking technology and risk management, including leading IT Departments and executing pivotal projects in consumer financing and corporate banking in BNP Paribas. He has developed a broad understanding of managing risks for both large corporations and small businesses.",Not enough info
149,Atlas Consulting,No,Metal fabricator,"Established in 2022, Atlas Consulting was founded with a vision to redefine metal fabrication. From the very beginning, we set out to create a company that would not only deliver high-quality metal products but also provide exceptional service and customization to meet the unique needs of our clients. Feel free to get in touch with us to discuss your projects.",atlasconsulting.sg,"Custom Metal Fabrication, Precision Machining, Welding and Assembly, Finishing and Coating",Enterprises in various industries requiring metal fabrication services,To provide high-quality metal products with exceptional service and customization to meet the unique needs of clients,"The founders of Atlas Consulting have extensive experience in the metal fabrication industry, with backgrounds in engineering, manufacturing, and construction. They have a proven track record of delivering successful projects and have built strong relationships with clients and partners.",Not enough info
150,Aglow Studio Singapore,No,,"We are a dance and yoga studio located in Singapore. 

Aglow Studio aims to cultivate a community that is supportive without judgment and share tools with you to become healthier, happier, and live a full-potential life. Our classes are suitable for all levels of experience! 

Totally new to yoga or dance are welcome to learn basics and with proper guidance for better understanding and foundation!",aglowstudiosg.com,"Yoga Classes, Dance Courses, Flexibility Classes, Power HIIT",Consumers,To provide a variety of fitness classes to improve physical and mental well-being for individuals of all ages,Not enough info,Not enough info
151,EDEN,No,Branding specialist,"Eden is on a mission to help businesses innovating at the fringes of culture build and grow meaningful, participatory brands.",nicoletan.me,"A slow fashion brand that celebrates diversity and traditional African fashion, offering well-crafted designs inspired by African Ankara Wax Cotton prints.","Consumers interested in culturally inspired, sustainable fashion.","To create joyful, vibrant, and sustainable designs that draw inspiration from traditional African fashion while reducing the impact on the environment.",Not enough info,Not enough info
152,DataPull Pte. Ltd.,No,market research,"Based out of Singapore, DataPull provides support to researchers and marketers on their Market Research requirements globally.
We provide meaningful primary data through various research methodologies to support business leaders in their decision-making process.",datapull.com,Data Collection Services,"Enterprises, Market Researchers, Marketing Agencies","The main problem statement of DataPull Pte. Ltd. is to provide customized primary research data collection solutions to meet the needs, situation, and requirements of clients for any market research campaign or project.","Sandeep Singh, CEO, with more than 16 years of experience in Market Research. Deepanshu Chandiramani, Director - Sales, with 8+ years of market research expertise in APAC.",Not enough info
153,webFA,No,Web design,"WebFA is a web design agency for financial advisors who want to stand out online. In today's competitive digital landscape, a professional and compelling website is crucial to success, and that's where we come in.

We understand that your website is the face of your business online, and we are passionate about helping you make the best impression possible.

We specialise in creating bespoke websites for financial advisors that truly capture the essence of your brand.",webfa.org,Personalized website design and development for consultants,Consultants,Consultants face challenges such as insufficient leads and lack of differentiation in a crowded market. A strong personal branding and positioning is crucial to stand out and attract clients.,Not enough info,"Elle, Don, Chingwei"
154,Allegory Counselling,No,Therapist,"Accessible and personalised therapy. We offer sessions both in person and online, to older adolescents, adults and couples.",allegorycounselling.com,Counselling services that combine traditional therapy with innovative techniques such as art therapy and mindfulness practices,Individuals seeking mental health support and personal growth,To provide a holistic approach to mental health care that goes beyond traditional talk therapy,Not enough info,Not enough info
155,Robotics Automation Services Pte Ltd,No,Consultant,Providing advisory and consulting services to early-stage technology companies in Asia and globally,roboticsas.com,Providing advisory & consulting services to early-stage technology companies in Asia and globally. Specializing in Robotic Process Automation (RPA) and Process Mining.,Early-stage technology companies in Asia and globally looking to implement automation technologies to improve efficiency and productivity.,"Helping businesses navigate the tricky stages of innovation and automation by providing holistic views of automation, process, and service improvement.","The RAS team comprises of technologists, project managers, innovators, investors, and entrepreneurs. They have experience in large corporates and early-stage startups, especially in areas such as Robotic Process Automation, Industrial 4.0, Artificial Intelligence, Autonomous Technologies, and Predictive Maintenance.",Not enough info
156,Mulberry Learning Centre @ ATP Pte Ltd,No,Nursery,"Situated at the bustling business hub of Alexandra Technopark, and located near Labrador Park MRT Station, Mulberry Learning @ ATP is one of the newest centres to provide infants, toddlers and preschoolers an inspiring, engaging and conducive learning environment.

Spanning around 6,000 sqft, the centre features a spacious interior layout with high ceilings and well-crafted spaces which optimize efficiency, productivity, active learning and enhances cognitive development in young children. Various signature Reggio-inspired learning zones, an indoor playground, a Discovery Tower with a loft, and a flexible multi-purpose space that can be used as a class studio, movie projection theatre or theatrical stage are a few examples of why this centre design is so unique!

Infants get access to their own dedicated area designed to provide the best Experiential Learning experience as they grow and develop with us! Three individual zones separate infants according to their age group and stage of development, allowing them to flourish and grow confidently under the expert guidance of our infant teachers. They also get to experience a special infant spa and massage programme at the centre!

With easy access to the neighbouring HortPark, children at the centre will also be brought on regular nature walks to learn about nature and enjoy the various themed gardens within the HortPark compound.",mulberrylearning.com,"Preschool and Infant Care Programmes with a focus on Reggio Emilia methodology and Habits of Mind framework, including signature programmes like Literacy Fun and Chinese Master.",Parents looking for a holistic education for their children aged 2 months to 6 years old.,"Providing a nurturing and stimulating environment for children to develop into competent explorers, imaginative thinkers, and creative problem solvers.",Not enough info,Not enough info
157,Envu APAC,No,Landscaping business,"Envu was founded in 2022, a new company built on years of environmental science experience, for the sole purpose of advancing healthy environments for everyone, everywhere. We empower our partners to restore natural spaces, respond to threats with precision, and be a force for safer, stronger 
 environments where society and nature can both thrive.

Envu offers dedicated services in: Professional Pest Management, Forestry, Ornamentals, Golf, Industrial Vegetation Management, Lawn & Landscape, Mosquito Management, and Range & Pasture. Across each of its lines of business, Envu focuses its work in chemistry and beyond, collaborating with our customers to deploy innovative solutions that can help us shape a safer,
stronger future. 

Our portfolio consists of over 180 trusted and well-known brands. The company employs nearly 900 people and operates in more than 100 countries with four global innovation hubs. For additional information, visit www.envu.com.",envu.com,"Envu offers a wide range of solutions for professional pest management, including innovative products like Barricor® SP insecticide and Temprid® FX insecticide. These products help control pests like rodents, cockroaches, and bed bugs with precision and efficiency.","Professional pest management professionals who are looking for effective solutions to control pests in residential, business, and public settings.","The main problem statement for Envu is to provide healthier, pest-free environments for people to live, work, and play in. They aim to offer innovative solutions that meet the requirements of their customers and ensure the safety and well-being of communities.",Not enough info,Not enough info
158,Wisdom Mortgage,No,,"At Wisdom Mortgage, we provide mortgage loan advisory that works for your interest and not the bank’s. Get connected with our team of mortgage brokers who will provide you with an unbiased, layman terms and unfiltered advice on matters like loan selection and home protection.

 

Our team will walk you through the application process for a seamless transaction journey to your new home. We understand you’ll need people by your side who’ll help you constantly keep those tricky interest costs in check, so that you can achieve greater savings.



Wisdom in mortgage is the key to your future success.",wismortgage.com,"Mortgage loan advisory that works for your interest and not the bank’s. Get connected with our team of mortgage brokers who will provide you with unbiased, layman terms and unfiltered advice on matters like loan selection and home protection.",Individuals looking to purchase or refinance a home.,Providing unbiased mortgage loan advisory to help individuals make informed decisions and achieve greater savings on their home loans.,Not enough info,Not enough info
159,ALM TECH,No,,"IT Services and IT Consulting IT Managed Service, IT Outsourcing Service, Virtualization Deployment and Maintenance, Preventive Maintenance Service for Data Center, IT Talent Outsource, Offshore IT Installation &Maintenance, IT Vulnerability Scanning &Fix Service, Network Monitoring",almtech.sg,ALM TECH provides comprehensive cutting edge technology and business process outsourcing solutions. They also offer Managed Testing & QA Services.,"Their target audience includes multinational companies looking for technology and services solutions, as well as clients from a wide spectrum of industries, including Education, Social Networking, Retail, Travel, Media & Entertainment, Healthcare, and Human Resources sectors.","ALM TECH aims to be a premier international technology and services solution company by providing the best value to clients, employees, and associates in an honest, open, and ethical environment. They are committed to creating positive long-term outcomes for their clients and believe in customer orientation as their core value.",Not enough info,"ALM TECH has served clients from a wide spectrum of industries, including Education, Social Networking, Retail, Travel, Media & Entertainment, Healthcare, and Human Resources sectors."
160,3ENGs Corporation Pte. Ltd.,No,,"Our long-term dream is to establish a real-estate investment and development platform that reflects our identity ""3ENGs (One World Cooperation) as an attractive company for both international and domestic investor, partner, and strengthen economic development with sustainable development"".",3engs.com,"Real Estate Investment and Development, Business Consultant and Management","International and domestic investors, partners, economic development stakeholders","To transform the local real estate industry by providing sustainable, diverse, equitable, and inclusive solutions with community engagement","Managing Director - Civil engineer with high commitment and confidence, Retired professor with network in real estate development, Director with experience in real estate and property management/development",Not enough info
161,MetaMine,No,Web3 miners,"A private company registered in Singapore with a core business of operating Mining-as-a-Service. Founded by a group of professionals comprised of traditional business backgrounds within the mining industry and specialised attuned to the digital world, spearheading the development of blockchain technology. We aim to create a hybrid economy in which the real world and blockchain can coexist and interoperate.",metaminecorp.com,MetaMine offers innovative data mining and analytics software that helps businesses extract valuable insights from their data.,Enterprises and data-driven organizations looking to optimize their decision-making processes and improve business outcomes.,"The main value proposition of MetaMine is to provide a user-friendly and efficient platform for data analysis, allowing companies to make informed decisions based on data-driven insights.",Not enough info,Not enough info
162,Twin Woods Consulting (富林咨询公司),No,,"Twin Woods Consulting is a Singapore-based, independent provider of Private Client and Crypto consultancy services. Leveraging on our extensive network across Asia, we collaborate with partners across the region to provide one-stop shop solutions for our clients.

Private Client
- Trust & Succession Planning
- Family Offices
- Probate
- Immigration
- Private Wealth, Real Estate (Residential, Commercial, and Industrial), and Insurance (Universal Life etc)

Crypto Consultancy
- Corporate Structure for ICOs/Token Launches
- Marketing Strategic Advisory
- Business Development Outreach",twinwoods.capital,,,,,
163,Pro Lead Finder Pte. Ltd.,No,,"We will help you get ""High LTV Customers"" with our advertising method.

Not your old boring lead generation service provider.

We exist solely to find high LTV customers for your SaaS Companies by using our advertising method. If you want to know more about how we do it?

Then click on the link in the bio head to our website and book a demo session for our framework.",pro_lead_finder_pte_ltd.vertex_invalid,,,,,
164,National Synchrotron Programme (NSP),No,Lab,"The National Synchrotron Programme is a national platform supported by the National Research Foundation (NRF) to promote and anchor deep capabilities in the use of Synchrotron techniques. The programme office, hosted by the National University of Singapore (NUS), brings together all Singapore-based research institutions, agencies and industry into a vibrant ecosystem of Synchrotron related research to advance knowledge, create unique tools and techniques, and develop the talent to light-up Singapore's Synchrotron efforts globally.

The Office promotes Synchrotron access through the local Singapore Synchrotron Light Source (SSLS) facility and enables access to overseas facilities through the International Synchrotron Access Programme (ISAP).

Together, these two programmes offer comprehensive access to the full range of local and international state-of-the-art beamline facilities to serve academic and industrial users across the full spectrum of physical and biomedical sciences.",synchrotron-sg.org,"The National Synchrotron Programme (NSP) offers access to state-of-the-art Synchrotron techniques through the Singapore Synchrotron Light Source (SSLS) facility and the Singapore-International Synchrotron Access Programme (SG-ISAP). This allows researchers to advance knowledge, create unique tools, and develop talent in the field of Synchrotron research.","The target audience of NSP includes researchers from all Singapore-based research institutions, agencies, and industries who are interested in utilizing Synchrotron techniques for their research.","The main problem statement of NSP is to promote and anchor deep capabilities in the use of Synchrotron techniques, and to facilitate greater scope, engagement, and access by Singapore researchers to 3rd and 4th generation Synchrotrons in the Asia-Oceania region.",Not enough info,Not enough info
165,Hydro Marine Solutions Pte Ltd,No,SME,Providing effective and efficient diving services for vessel maintenance within Singapore Anchorages.,hydromarinesolutions.com,"Hydro Marine Solutions specializes in providing reliable and professional underwater services for vessels in Singapore. They offer a full suite of underwater solutions including in-water survey & inspection, underwater cleaning & maintenance, underwater repair works, and salvage & recovery works. Their innovative approach lies in their commitment to safety, excellence, and customer satisfaction, as well as their use of highly trained certified professionals and state-of-the-art communication systems.","Hydro Marine Solutions targets vessel owners, maritime companies, and businesses in Singapore who require underwater services for their vessels. Their services cater to the unique needs of clients in the maritime sector, ensuring safe, efficient, and reliable solutions.","The main problem statement of Hydro Marine Solutions is to provide comprehensive underwater services that exceed the expectations of clients in the maritime industry. They aim to navigate the challenges and complexities of the dynamic maritime sector by delivering tailored solutions that go beyond the ordinary, ensuring operational integrity and success for businesses in the region.",Not enough info,"Hydro Marine Solutions has served discerning vessel owners, maritime companies, and businesses in Singapore. They have established partnerships with clients who value reliable and professional underwater services, contributing to the success of businesses in the maritime sector."
166,Paradox Singapore Merchant Court at Clarke Quay,No,Hotel,"Paradox Singapore Merchant Court at Clarke Quay is a luxury hotel located by the iconic Clarke Quay lifestyle precinct, minutes away from the Central Business District (CBD), and close to popular attractions like Chinatown, Sentosa Island and Marina Bay, making it the ideal choice for business and leisure travellers.

The 476 contemporary guest rooms and suites feature state-of-the-art technology while the executive floors and lounge offer breathtaking views across the city.

Dining options include award-winning restaurant Ellenborough Market Café which features a wide choice of international, Asian and Peranakan dishes, Riverside Kiosk as well as a stylish drinking spot - Crossroads Bar.

A recreational haven comprises a resort-style pool with water slides, a children's pool, an outdoor Jacuzzi, Spa and a 24-hour fitness centre.

Our flexible event spaces pair aesthetics with smart, intuitive design and best-in-class technology enhanced by floor-to-ceiling windows for natural lighting and an award-winning culinary team.

Paradox Singapore Merchant Court at Clarke Quay is the urban resort of Singapore, delivering a Peranakan tradition and genuine hospitality.",paradoxhotels.com,Luxury lifestyle hotels with a focus on immersive experiences and authentic hospitality,Consumers looking for a sophisticated yet playful hotel experience,Providing a stylish home base for business travelers and a quiet sanctuary for relaxation,Not enough info,Not enough info
167,SkyOne Business Consultancy,No,,SkyOne provides a one-stop service to our Singapore SME clients helping them make better financial decisions. Our services vary from client to client and every solution is tailored to fit the needs of the client. Our professional business consultants can assist you in looking for the best solutions that meet your business needs. Contact us for a free consultation today!,skyonegroup.com.sg,"Business finance consultancy, corporate services, and business digital solutions",Singapore SME clients,Navigating through the complex financial market and avoiding pushy sales tactics while making sound financial decisions can be overwhelming for clients,Not enough info,Not enough info
168,Ami,No,,"Ami’s mission is to accelerate APAC’s transition to a sustainable high performance work culture. By enabling the best organizations to run personalized and scalable learning, development, and wellness programs, Ami helps companies build highly accomplished, motivated, and engaged workforces.",getami.co,"Hupo is a leadership coaching platform offering tailored coaching solutions to businesses. The coaching services provided through the Hupo platform are intended for personal, non-commercial use. Hupo does not provide medical or mental health services. Coaches are independent contractors who are trained and qualified coaches, but not licensed therapists or medical professionals.",Businesses and organizations looking to provide personalized leadership coaching to their employees.,"The main problem statement of Hupo is to provide scalable and personalized leadership coaching solutions to businesses at a fraction of the traditional cost, maximizing the impact of supporting leaders in the workplace.","The company was founded by Justin Kim, a Forbes 30 Under 30 Asia listee, and Beknazar Abdikamalov, a former Amazon engineer. They are seeking to expand within Asia.",Ami has served leading organizations as clients and has a high user satisfaction rate of 98%.
169,Flycraft,No,,"Flycraft SGE PTE LTD is a Singapore-based company that provides Integrated Solutions for Aviation & Logistics. 

With accreditations in leading international bodies and a worldwide network, Flycraft is well-positioned to ship freight in a secure and time-bound manner. Our services span land, sea and air freight, covering the widest network for providing a one-stop solution for customers.

The company is well-equipped to handle support and supplies for Aircraft parts, Lubricants, Tapes, Consumables, Hardware, Tiers and Expendables for clients in the aviation industry. Clients can also avail flexible solutions for integrated logistics to ensure the delivery of their freight using the most optimized and cost-effective means.",flycraft.vertex_invalid,,,,,
170,Gentle Seeds,No,,"Gentle Seeds believes in providing wholistic education to children, where learning is be both fun and invigorating. We care about a child's social, emotional, physical and intellectual well being. 

 

Gentle Seeds Outdoor Learning curriculum is inspired by Charlotte Mason's homeschool pedagogy. We chose this Homeschool Pedagogy because it is an alternative learning from the Classical Method that children are introduced in schools.",gentleseeds.co,Nature Study program combining education through Nature and Literature,Parents with children in formal education or homeschooling,Providing a holistic educational experience for children through outdoor activities and literature,"Joey, Madeline, Anabel","Grace, Anne, Tami"
171,Zion Capital Advisory,No,,"Zion Capital Advisory (""ZCA"") is an independent private-owned capital markets financial advisory firm. ZCA is operating under an exempt license granted under the Securities and Futures Act 2001 (“SFA”), and/or Financial Advisers Act 2001 (“FAA”) and the relevant Regulations and we offer a full range of corporate advisory services that include both financial (FS) and non-financial services (NFS) for businesses, growth companies and family offices globally.",zioncapitaladv.com,Not enough info,Not enough info,Not enough info,Not enough info,Not enough info
